Disease,Protein
D182830,Q99698
D182830,Q9BRB3
D184700,P02786
D184700,O94827
D184700,Q9UKP4
D184700,O60383
D184700,Q7L5N7
D184700,Q9UPT6
D184700,P11532
D184700,P33552
D184700,O43435
D184700,P61019
D184700,P61513
D184700,Q11130
D184700,P02545
D184700,P78352
D184700,P11388
D184700,Q9NQW6
D184700,Q8IZT6
D184700,Q86VS8
D184700,Q15750
D184700,P50479
D184700,O95972
D184700,Q96HA7
D184700,Q9H4M3
D184700,Q86SG5
D184700,Q8WTV1
D184700,Q13370
D184700,O75494
D184700,P42702
D184700,Q96KB5
D184700,Q07812
D184700,P02753
D184700,B0YJ81
D184700,P23945
D184700,Q4KMZ1
D184700,O96020
D184700,Q8IYT2
D184700,Q9H254
D184700,P18846
D184700,O60248
D184700,P35916
D184700,Q8TDD1
D184700,Q53EZ4
D184700,Q8ND23
D184700,P13224
D184700,Q8ND07
D184700,P49675
D184700,P49286
D184700,Q7Z589
D184700,Q9UIK5
D184700,Q6NUJ5
D184700,O75330
D184700,Q7Z6I6
D184700,P31350
D184700,P18405
D184700,Q9BZS1
D184700,P0DN86
D184700,Q6ZMJ4
D184700,Q15562
D184700,Q8TCX5
D184700,A8MYP8
D184700,Q13557
D184700,P33981
D184700,Q9H1D0
D184700,Q6ISU1
D184700,Q8NG41
D184700,P11686
D184700,P01229
D184700,Q5JWF2
D184700,P25815
D184700,P26439
D184700,P25311
D184700,Q96B18
D184700,Q96KN4
D184700,Q96MG2
D184700,Q13480
D184700,Q5SRI9
D184700,Q86XI8
D184700,Q96MD2
D184700,P14060
D184700,P41159
D184700,P52895
D184700,Q9H8G1
D184700,Q71RC2
D184700,O76093
D184700,Q7Z572
D184700,Q9NPH2
D184700,Q5T089
D184700,O14493
D184700,Q3V5L5
D184700,P15018
D184700,Q9Y4Y9
D184700,Q6QNY0
D184700,P09683
D184700,P12035
D184700,P37088
D184700,Q04828
D184700,Q9UJM3
D184700,P78563
D184700,Q3SXZ7
D184700,Q14576
D184700,Q96AD5
D184700,P14635
D184700,O75695
D184700,Q96S79
D184700,P10415
D184700,O14787
D184700,Q9HAJ7
D184700,Q9NRZ9
D184700,Q12870
D184700,O95201
D184700,Q9NZM5
D184700,Q8N4L1
D184700,P10243
D184700,P42330
D184700,P29376
D184700,Q9H165
D184700,Q9NP58
D184700,Q9BZL6
D184700,Q9UPQ9
D184700,P11511
D184700,Q9H0H5
D184700,P55291
D184700,P25105
D184700,Q8N1G1
D184700,Q9P227
D184700,Q8N137
D184700,Q96T66
D184700,Q13761
D184700,Q13257
D184700,P62256
D184700,Q9UPY8
D184700,Q96PD2
D184700,P82094
D184700,Q99741
D184700,Q02297
D184700,Q9UJ78
D184700,Q8IW70
D184700,P43115
D184700,P01308
D187950,P04085
D187950,P40238
D187950,P27797
D187950,O60674
D187950,P01137
D187950,P09038
D187950,Q6N021
D187950,P01127
D187950,P40225
D187950,P01563
D187950,P04637
D187950,Q9UQQ2
D188030,P31995
D188030,Q76LX8
D188050,P00734
D188050,Q9UK55
D188050,P13726
D188050,Q9UNN8
D188050,P10646
D188050,P33261
D188050,P40337
D188050,P04141
D188050,O43474
D188050,Q76LX8
D188050,P02776
D188050,P22083
D188050,P00451
D188050,P08709
D188050,P00749
D188050,P12259
D188050,P35354
D188050,P01019
D188050,P00742
D188050,P06729
D188050,Q96EB6
D188050,P16109
D188050,P04201
D188050,P07204
D188050,P05121
D188050,P04275
D188050,P07359
D188050,O60674
D188050,Q14520
D188050,P02671
D188050,P00740
D188050,Q9BQB6
D188050,P03952
D188050,Q06418
D188050,P12318
D188050,Q12866
D188050,O00592
D188050,P36888
D188050,P42898
D188050,P30411
D188050,P47900
D188050,Q14393
D188050,P01588
D188050,Q9H244
D188050,P14210
D188050,P02741
D188050,P07225
D188050,P00747
D188050,P01375
D188050,P04070
D188050,P00488
D188050,P05160
D188050,P05546
D188050,Q14432
D188050,Q02108
D188050,P00750
D188050,P35968
D188050,P43115
D188050,P20815
D188050,P09601
D188050,Q9H3S5
D188050,P01008
D188470,P01111
D188470,P10828
D188470,P01116
D188470,P01112
D188470,O95661
D188470,Q7Z6B7
D188470,P60484
D188470,Q9UNW1
D189600,P21918
D189800,Q6ZVD7
D189800,P17948
D189800,P05156
D189800,P07099
D189800,P29474
D189800,P15529
D189800,P01019
D189800,P05305
D189800,P05121
D189800,P00450
D189800,P00738
D189800,Q92619
D189800,O95865
D189800,P37088
D189800,P08758
D189800,P12821
D189800,P08476
D189800,Q9Y5Q5
D189800,P09601
D189800,P08603
D190300,P35462
D190300,Q96FE5
D190300,P14867
D190300,P09211
D190310,Q8N2K0
D190310,P51810
D190310,P35228
D190310,Q96KN7
D190310,P47712
D190310,P35354
D190310,P01137
D190310,P07550
D190310,P20396
D190310,P10635
D190310,P54136
D190310,P22303
D190310,P52746
D190310,Q04656
D190310,P08173
D190310,P29274
D190310,P08908
D190310,O43653
D190310,P16442
D190310,Q9UQD0
D190400,P55008
D190400,P01375
D190400,P01100
D190400,P01584
D190400,P27361
D190400,P05129
D190400,P45983
D190400,P14136
D190400,Q05586
D190400,P06881
D190400,P45984
D190400,P28482
D191390,Q7Z5P9
D191390,Q92902
D191390,Q8N474
D191390,P22301
D191390,Q13651
D191390,P26012
D191390,O95996
D191390,Q3KP66
D191390,P05231
D191390,Q86UL8
D191390,Q9HC29
D191390,A1A4Y4
D191390,Q9NS23
D191390,O95150
D191390,P35354
D191390,Q5VWK5
D191390,Q9H257
D191390,O95497
D191390,P01137
D191390,O95256
D191390,P05362
D191390,P49279
D191390,P25054
D191390,P98170
D191390,P13612
D191390,Q96HF1
D191390,Q01523
D191390,Q13617
D191390,Q08334
D191390,P16885
D191390,P01375
D191390,Q676U5
D191390,P20701
D191390,Q9Y2R2
D191390,Q9P0V8
D192200,P08493
D192200,P24821
D192200,Q9UGI6
D192200,P40337
D192200,P01033
D192200,Q07507
D194070,Q8WYQ5
D194070,Q9NRR4
D194070,P40337
D194070,Q9Y6R4
D194070,P01344
D194070,Q15233
D194070,Q8WZ42
D194070,Q86YC2
D194070,Q5JTC6
D194070,P04637
D194070,P12111
D194070,P49711
D194070,P19544
D194070,Q6W2J9
D194070,Q15475
D194070,Q13263
D194070,P78424
D194070,P48060
D194070,Q9UPY3
D194070,P35222
D194070,P04198
D194070,Q15645
D194070,Q9HAV4
D194070,Q03111
D194070,O14497
D194070,P51587
D194070,P51654
D194070,P61244
D194070,Q13127
D194070,Q9NPC8
D194070,Q5H9F3
D194070,O75487
D194070,P49918
D194070,Q8IXJ9
D194070,Q8IYB7
D194200,Q9UGJ0
D200170,P00734
D200170,P35869
D200170,P01019
D200170,P05305
D200170,Q96EB6
D200170,Q03060
D200170,P38936
D200170,Q9Y210
D200170,P27361
D200170,Q15109
D200170,P28482
D200170,P00846
D200170,P60484
D200170,Q15389
D200170,P00395
D200170,P01303
D200170,P09919
D200170,P04808
D203700,P00734
D203700,P21781
D203700,P21926
D203700,O00624
D203700,Q15113
D203700,P08123
D203700,P12259
D203700,P01019
D203700,P05177
D203700,P05997
D203700,P25116
D203700,P07996
D203700,P15692
D203700,P05155
D203700,P20333
D203700,P35555
D203700,P09382
D203700,P05787
D203700,P08571
D203700,Q5HYA8
D203700,Q6VVX0
D203700,P18065
D203700,P05783
D203700,P08253
D203700,P49407
D203700,P09486
D203700,Q9UKG4
D203700,P20309
D203700,P05231
D203700,P02768
D203700,P09038
D203700,P00797
D203700,Q9UBM1
D203700,Q15493
D203700,Q68DC2
D203700,P00450
D203700,Q13753
D203700,Q6XR72
D203700,P13498
D203700,P28300
D203700,P80365
D203700,P14210
D203700,P35869
D203700,O15118
D203700,P54098
D203700,P01160
D203700,Q08380
D203700,P10451
D203700,P13726
D203700,Q02318
D203700,P08670
D203700,P50454
D203700,P34972
D203700,P02461
D203700,Q9UBM7
D203700,Q7L3T8
D203700,Q92769
D203700,Q16236
D203700,P35348
D203700,P02774
D203700,P02452
D203700,Q9H1C4
D203700,Q96QT4
D203700,P60484
D203700,P35670
D203700,P04004
D203700,Q8N668
D203700,P21802
D203700,P17948
D203700,Q08397
D203700,P08185
D203700,P62736
D203700,P84022
D203700,P00749
D203700,P08833
D203700,P36897
D203700,P29279
D203700,P35222
D203700,P01137
D203700,P01023
D203700,P42224
D203700,P01562
D203700,P01009
D203700,P17535
D203700,P51884
D203700,Q13145
D203700,O00469
D203700,P02746
D203700,P27540
D203700,P21554
D203700,Q8TCC7
D203700,P21439
D203700,P13500
D203700,P37802
D203700,P13716
D205700,Q13336
D206200,Q8IU80
D206200,Q04771
D206200,P02786
D206200,P00441
D206200,Q92539
D206200,P49281
D208085,Q9Y3B3
D208085,P04040
D208085,Q9UGH3
D208085,O15438
D208085,Q8WZ42
D208085,Q16539
D208085,Q16854
D208085,Q9BX10
D208085,P07510
D208085,P01019
D208085,P05177
D208085,P47928
D208085,Q16572
D208085,O76094
D208085,Q9H267
D208085,P35680
D208085,Q9GZZ9
D208085,Q04206
D208085,Q6ZNB6
D208085,Q504Q3
D208085,Q8IY42
D208085,P07951
D208085,Q9UKB3
D208085,B2RTY4
D208085,P01375
D208085,O95342
D208085,P80098
D208085,Q9NYQ3
D208085,Q9H9C1
D208085,Q86UW7
D208085,Q9UNU6
D208085,P32004
D208085,P11055
D208085,P05231
D208085,Q8TD16
D208085,P18146
D208085,Q00765
D208085,Q13133
D208085,Q9Y276
D208085,O60603
D208085,Q9Y6Y9
D208085,P10145
D208085,Q6ZNC8
D208085,P05121
D208085,P53004
D208085,P55055
D208085,Q6XR72
D208085,Q96RI1
D208085,Q9H2F3
D208085,P19875
D208085,P39210
D208085,Q5JWF2
D208085,P51857
D208085,P15559
D208085,P01213
D208085,Q9BZQ8
D208085,Q8N9N2
D208085,P22680
D208085,Q14678
D208085,Q8N3P4
D208085,P48788
D208085,Q9UHI7
D208085,P19320
D208085,P36021
D208085,P13569
D208085,Q86UW2
D208085,Q6ZVN8
D208085,P54687
D208085,Q02318
D208085,P35228
D208085,Q9UJ55
D208085,Q969S9
D208085,Q14201
D208085,Q9H0C3
D208085,Q5MNZ9
D208085,P50993
D208085,P02671
D208085,Q16236
D208085,Q9BXD5
D208085,P45378
D208085,O15264
D208085,P30837
D208085,Q92673
D208085,Q99523
D208085,P38571
D208085,Q8N135
D208085,P05154
D208085,P01189
D208085,Q9H2A2
D208085,Q9UBS3
D208085,Q14204
D208085,Q9ULV0
D208085,P27169
D208085,O75881
D208085,Q92887
D208085,Q0GE19
D208085,O00204
D208085,Q86XE5
D208085,Q03468
D208085,P01009
D208085,P05362
D208085,P16930
D208085,Q96RI0
D208085,Q96DZ1
D208085,Q9NWD9
D208085,O95863
D208085,Q96PD7
D208085,P09327
D208085,Q86UW1
D208085,Q14032
D208085,P35241
D208085,Q9UJ83
D208085,Q16637
D208085,Q8N5W9
D208085,P05019
D208085,Q9BXR6
D208230,P02788
D208230,O95389
D208550,P04040
D208550,O75762
D208550,P05113
D208550,Q08499
D208550,P43116
D208550,Q8IZI9
D208550,P05305
D208550,P05112
D208550,Q8TAX7
D208550,P05089
D208550,P15692
D208550,Q07343
D208550,P09874
D208550,Q01638
D208550,P08571
D208550,Q96PL1
D208550,P09211
D208550,P04440
D208550,P01375
D208550,P78540
D208550,P08727
D208550,P67775
D208550,P05231
D208550,P35325
D208550,P12724
D208550,P10242
D208550,P05091
D208550,P01909
D208550,Q08462
D208550,Q15025
D208550,P13501
D208550,P02818
D208550,P80365
D208550,O95715
D208550,Q92878
D208550,P21583
D208550,P26358
D208550,P09238
D208550,P03956
D208550,P15559
D208550,P35625
D208550,P16050
D208550,P09917
D208550,Q9UL17
D208550,P24821
D208550,Q9Y5Y4
D208550,Q9UI47
D208550,P35225
D208550,P14780
D208550,P01911
D208550,Q9Y496
D208550,P35228
D208550,Q8NI36
D208550,P15514
D208550,Q6ZTQ4
D208550,P07550
D208550,P01303
D208550,Q969D9
D208550,Q8TAX9
D208550,P18510
D208550,Q13093
D208550,P60484
D208550,P08887
D208550,P09601
D208550,Q6W5P4
D208550,P01584
D208550,P00441
D208550,P10415
D208550,Q8TE73
D208550,P00749
D208550,P01137
D208550,P09488
D208550,P41586
D208550,P51671
D208550,P50135
D208550,P05362
D208550,Q8N138
D208550,Q6K0P9
D208550,P13500
D208550,Q9UKT9
D208550,P17693
D208550,O95760
D208550,P01920
D208700,P00734
D208700,P0DP25
D208700,P15328
D208700,P41091
D208700,Q30201
D208700,P20138
D208700,P49768
D208700,P78381
D208700,Q13255
D208700,Q9H2X9
D208700,P62760
D208700,P06213
D208700,P19367
D208700,P11166
D208700,Q05193
D208700,P47870
D208700,Q9NY47
D208700,O14556
D208700,P27338
D208700,P10082
D208700,P48431
D208700,Q9Y289
D208700,P43005
D208700,P17927
D208700,Q14683
D208700,P22607
D208700,P21796
D208700,P15692
D208700,O00305
D208700,Q9Y484
D208700,P31749
D208700,P49815
D208700,O95259
D208700,P08913
D208700,P53539
D208700,P55316
D208700,P05067
D208700,Q07812
D208700,P01375
D208700,P05198
D208700,P35498
D208700,P18507
D208700,P63261
D208700,P43004
D208700,P41229
D208700,Q92542
D208700,O76039
D208700,Q9UBL9
D208700,P14867
D208700,Q15392
D208700,Q9BRB3
D208700,Q14442
D208700,Q8NCM2
D208700,O14525
D208700,Q92692
D208700,Q00059
D208700,P02649
D208700,P01034
D208700,Q06413
D208700,P02768
D208700,Q9NZC7
D208700,P01344
D208700,P51608
D208700,P36544
D208700,Q16881
D208700,Q30154
D208700,Q00577
D208700,P00450
D208700,O14672
D208700,Q7Z6L0
D208700,Q99571
D208700,Q9H0V9
D208700,P21709
D208700,Q9UHI8
D208700,O75027
D208700,P54136
D208700,Q8WXX7
D208700,P22303
D208700,Q04656
D208700,Q92574
D208700,P04350
D208700,P63302
D208700,Q6UB99
D208700,Q9NP73
D208700,Q96DA2
D208700,P02787
D208700,O96008
D208700,P09471
D208700,P01100
D208700,P07203
D208700,Q16555
D208700,Q13224
D208700,Q13303
D208700,P11717
D208700,O00499
D208700,O15118
D208700,Q8N0W5
D208700,P06276
D208700,Q6UVM3
D208700,P54098
D208700,P12821
D208700,O14863
D208700,P10636
D208700,P23560
D208700,Q9BZA7
D208700,P10909
D208700,Q5JU85
D208700,Q05086
D208700,P30531
D208700,O75460
D208700,Q96N76
D208700,O00571
D208700,P29474
D208700,P61266
D208700,Q13627
D208700,P41159
D208700,P04156
D208700,Q96PV0
D208700,Q96TA2
D208700,Q96JQ5
D208700,Q9Y5K6
D208700,P11229
D208700,P08172
D208700,Q9NZV8
D208700,P37231
D208700,P61764
D208700,Q9NX46
D208700,Q9BY44
D208700,P01303
D208700,Q15858
D208700,P41143
D208700,Q9UHC6
D208700,P56817
D208700,P10635
D208700,Q05639
D208700,Q9P2A4
D208700,P49810
D208700,Q06889
D208700,O14773
D208700,P48444
D208700,Q7LC44
D208700,P49146
D208700,P14672
D208700,P00367
D208700,Q13418
D208700,P06733
D208700,O43526
D208700,P14136
D208700,P08069
D208700,P55011
D208700,P48169
D208700,Q8WXW3
D208700,O14647
D208700,P16885
D208700,Q9NQ75
D208700,Q12879
D208700,Q9UKV5
D208700,Q9C0F0
D208700,P06850
D208700,P60880
D208700,Q99250
D208700,O60741
D208700,O95630
D208700,P01189
D208700,P04179
D208700,Q8TAB3
D208700,Q9NPG4
D208700,P28472
D208700,Q9UQD0
D208700,P09601
D208700,P25705
D208700,P21333
D208700,P01584
D208700,Q5QGS0
D208700,Q6U841
D208700,Q9NZC2
D208700,P10415
D208700,Q14515
D208700,Q00839
D208700,Q9H9P8
D208700,P43003
D208700,P45880
D208700,Q8NFD5
D208700,P00749
D208700,Q6ZNB7
D208700,Q13492
D208700,Q5JPH6
D208700,Q14671
D208700,Q9Y5P4
D208700,Q8IZY2
D208700,P01137
D208700,P01023
D208700,Q5T160
D208700,Q5JRX3
D208700,O15047
D208700,O00555
D208700,P08183
D208700,P42898
D208700,Q9Y397
D208700,P42574
D208700,O00264
D208700,Q9Y6A2
D208700,P02654
D208700,P03372
D208700,P17787
D208700,P35372
D208700,P49841
D208700,P78509
D208700,P05164
D208700,P60174
D208700,Q96CW1
D208700,P14735
D208700,P05019
D208700,Q92835
D208700,Q6NXT4
D208700,Q9HCD6
D208700,P01308
D208750,P04040
D208750,P49768
D208750,O60706
D208750,P78380
D208750,P11532
D208750,Q15759
D208750,Q8WZ42
D208750,Q16539
D208750,P41181
D208750,P19367
D208750,P11166
D208750,P13533
D208750,P01019
D208750,P35354
D208750,P05305
D208750,P05112
D208750,P45379
D208750,Q53GG5
D208750,P28340
D208750,Q9NY47
D208750,Q0ZGT2
D208750,Q14651
D208750,P26678
D208750,P48431
D208750,Q8WUU5
D208750,O00305
D208750,Q07889
D208750,P31749
D208750,Q9UNH5
D208750,P30518
D208750,P09874
D208750,Q9H902
D208750,Q03181
D208750,Q9H4E5
D208750,O14958
D208750,P05067
D208750,P05556
D208750,P01111
D208750,P01375
D208750,P01116
D208750,O75390
D208750,P54819
D208750,P01112
D208750,P40763
D208750,Q9UBF9
D208750,Q14126
D208750,P14867
D208750,P18847
D208750,P61604
D208750,Q9BTV4
D208750,Q16635
D208750,P28482
D208750,Q969Q1
D208750,P16860
D208750,Q15119
D208750,O75306
D208750,P25445
D208750,P18206
D208750,P05231
D208750,P68032
D208750,O60603
D208750,Q04917
D208750,P25098
D208750,P16152
D208750,O76082
D208750,P19429
D208750,P00450
D208750,Q8IZQ8
D208750,O75027
D208750,Q12951
D208750,P54136
D208750,Q9H0A9
D208750,Q04656
D208750,P08590
D208750,P30411
D208750,P04350
D208750,O95500
D208750,P29274
D208750,P12883
D208750,P63316
D208750,P14210
D208750,P54646
D208750,Q9UGJ0
D208750,B1AK53
D208750,P02766
D208750,Q9NPC6
D208750,O15118
D208750,Q5TD94
D208750,P54098
D208750,P29033
D208750,Q96QU1
D208750,P48023
D208750,O75712
D208750,P78504
D208750,P10636
D208750,Q86TC9
D208750,P00338
D208750,P23560
D208750,O95622
D208750,Q96N76
D208750,Q15327
D208750,P06280
D208750,O75030
D208750,Q9HC10
D208750,Q9HCE0
D208750,Q92736
D208750,P35609
D208750,Q96TA2
D208750,Q9Y4J8
D208750,P17661
D208750,Q0ZLH3
D208750,P27361
D208750,P06858
D208750,P02511
D208750,Q14896
D208750,P19404
D208750,Q9NX46
D208750,Q96JX3
D208750,P07550
D208750,O15273
D208750,Q5T481
D208750,Q06889
D208750,P48444
D208750,P01583
D208750,P01588
D208750,P13473
D208750,Q16363
D208750,P00395
D208750,P48169
D208750,Q8WXW3
D208750,Q9BUB7
D208750,P18509
D208750,P56539
D208750,P23760
D208750,P15924
D208750,Q13485
D208750,P10253
D208750,O60741
D208750,Q92963
D208750,P01189
D208750,Q02487
D208750,P14923
D208750,P04179
D208750,O43819
D208750,P40225
D208750,Q9UQD0
D208750,P01185
D208750,P01584
D208750,P09493
D208750,P50461
D208750,P11712
D208750,Q16585
D208750,P58743
D208750,P10916
D208750,O75072
D208750,Q99683
D208750,Q06124
D208750,Q9UG56
D208750,Q14524
D208750,Q14671
D208750,O76041
D208750,Q9BR39
D208750,P04049
D208750,Q02156
D208750,Q5JRX3
D208750,O00555
D208750,Q8N394
D208750,O75112
D208750,P36507
D208750,Q7Z4I7
D208750,Q01668
D208750,P10809
D208750,Q99959
D208750,Q02750
D208750,P50402
D208750,P15056
D208750,Q13522
D208750,Q96CW1
D208750,Q92629
D208920,Q96N76
D208920,P05231
D208920,P02768
D208920,P19367
D208920,P11166
D208920,Q96TA2
D208920,Q14671
D208920,P00450
D208920,P49959
D208920,Q9NY47
D208920,Q7Z2E3
D208920,Q9NX46
D208920,P48431
D208920,O75027
D208920,Q5JRX3
D208920,P54136
D208920,O00305
D208920,O00555
D208920,Q06889
D208920,Q04656
D208920,P48444
D208920,P20333
D208920,P04350
D208920,P48169
D208920,Q8WXW3
D208920,O15118
D208920,O60741
D208920,Q96CW1
D208920,P14867
D208920,Q9UQD0
D210050,P00734
D210050,P21781
D210050,P21926
D210050,O00624
D210050,Q15113
D210050,P61812
D210050,Q9NSD9
D210050,P08123
D210050,P09919
D210050,P12259
D210050,P35354
D210050,P01019
D210050,P05177
D210050,P05112
D210050,Q9NWX6
D210050,Q15109
D210050,P05997
D210050,P25116
D210050,P07996
D210050,P48357
D210050,P15692
D210050,P05155
D210050,P31749
D210050,P20333
D210050,P14598
D210050,P35555
D210050,P09382
D210050,P08913
D210050,Q13315
D210050,P20366
D210050,P05787
D210050,O14733
D210050,P08571
D210050,Q5HYA8
D210050,Q6VVX0
D210050,P01127
D210050,P18065
D210050,P05783
D210050,O75787
D210050,P01375
D210050,P40763
D210050,P08253
D210050,P49407
D210050,P09486
D210050,Q9UKG4
D210050,P20309
D210050,Q8N474
D210050,P18564
D210050,P05231
D210050,P02768
D210050,P09038
D210050,P00797
D210050,Q9UBM1
D210050,Q15493
D210050,Q68DC2
D210050,P06870
D210050,P00450
D210050,Q13753
D210050,Q6XR72
D210050,Q15389
D210050,P13498
D210050,P28300
D210050,P80365
D210050,O14975
D210050,P14210
D210050,P35869
D210050,O15118
D210050,P01160
D210050,Q08380
D210050,P10451
D210050,P14780
D210050,P13726
D210050,O95622
D210050,Q02318
D210050,P08670
D210050,P17931
D210050,P50454
D210050,P02708
D210050,P34972
D210050,P18825
D210050,P02461
D210050,Q9UBM7
D210050,P30279
D210050,Q96EB6
D210050,P07550
D210050,Q92769
D210050,Q16236
D210050,P22830
D210050,P35348
D210050,P39900
D210050,P02774
D210050,P48736
D210050,P02452
D210050,Q9H1C4
D210050,Q96QT4
D210050,P18510
D210050,P04179
D210050,P60484
D210050,P16066
D210050,P35670
D210050,P09601
D210050,P04004
D210050,Q8N668
D210050,P36969
D210050,P21802
D210050,P17948
D210050,P01584
D210050,P07099
D210050,Q08397
D210050,P08185
D210050,P62736
D210050,P84022
D210050,Q9NYA1
D210050,P37173
D210050,P00749
D210050,P08833
D210050,P36897
D210050,P11511
D210050,P29279
D210050,P01137
D210050,P35222
D210050,P10600
D210050,P01023
D210050,P42224
D210050,P01562
D210050,P01009
D210050,P17535
D210050,P15502
D210050,Q9GZP0
D210050,P07585
D210050,P51884
D210050,Q13145
D210050,O00469
D210050,P11509
D210050,P02746
D210050,P27540
D210050,P21554
D210050,Q8TCC7
D210050,P21439
D210050,O00206
D210050,P13500
D210050,P37802
D210050,P13716
D211980,Q01650
D211980,P04040
D211980,Q15828
D211980,P60228
D211980,P16144
D211980,O75947
D211980,P40337
D211980,P30530
D211980,Q9UI10
D211980,P62906
D211980,P09919
D211980,O00567
D211980,P19367
D211980,P39748
D211980,Q9HD47
D211980,Q9NRY4
D211980,P22607
D211980,O95427
D211980,Q7LFX5
D211980,P05155
D211980,P31749
D211980,Q9NPD5
D211980,Q9UEW8
D211980,Q8IUG5
D211980,P40121
D211980,P01116
D211980,Q9ULZ3
D211980,P05412
D211980,Q9H2K8
D211980,P40763
D211980,Q9BQE4
D211980,Q13144
D211980,Q9UK32
D211980,Q9NQ55
D211980,Q8IYT2
D211980,P24385
D211980,Q9H4A3
D211980,Q7KZF4
D211980,P05231
D211980,Q9UKQ2
D211980,Q16678
D211980,P52701
D211980,O96017
D211980,P18146
D211980,O15527
D211980,Q16647
D211980,Q00013
D211980,P10145
D211980,P27695
D211980,P13010
D211980,O43187
D211980,Q14457
D211980,O95715
D211980,P30154
D211980,P09238
D211980,Q9H668
D211980,O96008
D211980,P01100
D211980,P39687
D211980,P12272
D211980,P08247
D211980,Q13609
D211980,P01160
D211980,Q96S38
D211980,P42345
D211980,P62937
D211980,O75795
D211980,P49918
D211980,P49023
D211980,O95436
D211980,P78318
D211980,Q9UH17
D211980,Q9Y617
D211980,P09104
D211980,P55042
D211980,P61952
D211980,P31431
D211980,Q96EK6
D211980,P30041
D211980,O60216
D211980,P30279
D211980,P53609
D211980,Q13470
D211980,Q13535
D211980,P27482
D211980,Q92743
D211980,Q9Y6R1
D211980,P08195
D211980,Q9Y580
D211980,P02775
D211980,Q86UB9
D211980,P48506
D211980,P51587
D211980,O14746
D211980,Q96PY6
D211980,P02741
D211980,Q9UPN9
D211980,P23921
D211980,P25713
D211980,O75342
D211980,Q8NBJ4
D211980,P08887
D211980,P23526
D211980,Q00987
D211980,P21802
D211980,P07099
D211980,Q9NRZ9
D211980,P83881
D211980,Q8TEK3
D211980,Q14469
D211980,P48436
D211980,Q9Y2P8
D211980,P04049
D211980,P35222
D211980,Q02535
D211980,O00622
D211980,P20585
D211980,P29966
D211980,O95347
D211980,Q14296
D211980,Q7Z4G4
D211980,Q16348
D211980,P22352
D211980,Q53EL6
D211980,O60260
D211980,P60174
D211980,P54886
D211980,Q9C0J9
D211980,Q9NZQ7
D211980,P51946
D211980,P04233
D211980,O14960
D211980,P26583
D211980,Q16539
D211980,Q93073
D211980,P11388
D211980,Q9H2G2
D211980,P30532
D211980,P07988
D211980,P48431
D211980,P50479
D211980,P31371
D211980,Q15361
D211980,P25054
D211980,P09382
D211980,O14733
D211980,Q92922
D211980,P09211
D211980,Q96QS6
D211980,P51532
D211980,P05556
D211980,P01112
D211980,P08922
D211980,P12956
D211980,P28482
D211980,O00716
D211980,Q99650
D211980,Q9HBY8
D211980,Q9Y2X3
D211980,Q9GZT4
D211980,P17275
D211980,P19338
D211980,Q99973
D211980,P52292
D211980,P31350
D211980,Q9UHI8
D211980,Q14451
D211980,Q16620
D211980,P15408
D211980,P03956
D211980,Q5T686
D211980,P48546
D211980,P11686
D211980,Q9UQC9
D211980,Q8IVF6
D211980,P15559
D211980,P25311
D211980,P53355
D211980,P01579
D211980,P12821
D211980,O60488
D211980,P00338
D211980,P09917
D211980,Q96SI9
D211980,P14780
D211980,O75460
D211980,O75385
D211980,Q13310
D211980,Q14790
D211980,P11836
D211980,Q03135
D211980,Q13887
D211980,Q96KA5
D211980,Q9H720
D211980,Q9NYL4
D211980,P15514
D211980,P51841
D211980,Q9Y282
D211980,P29320
D211980,P04075
D211980,P34897
D211980,P41440
D211980,Q9NZ71
D211980,P13688
D211980,P62308
D211980,P51955
D211980,O15350
D211980,Q8NBJ9
D211980,P06733
D211980,P07355
D211980,Q6ZN16
D211980,Q04828
D211980,P17302
D211980,Q12955
D211980,Q07973
D211980,P22304
D211980,P04179
D211980,P60484
D211980,P04818
D211980,Q9UMW8
D211980,P35249
D211980,Q07820
D211980,Q96GV9
D211980,P50461
D211980,O00584
D211980,Q06830
D211980,O75607
D211980,Q01826
D211980,Q9NYY3
D211980,Q9Y5J3
D211980,Q9ULV4
D211980,Q14061
D211980,Q9UQB9
D211980,P09488
D211980,P07992
D211980,P17535
D211980,P08183
D211980,Q6ZMQ8
D211980,P11509
D211980,P52799
D211980,P03372
D211980,P31947
D211980,P12268
D211980,O00206
D211980,Q14209
D211980,Q92560
D211980,O95980
D211980,Q96PM5
D211980,O75461
D211980,P22301
D211980,P02786
D211980,P51617
D211980,P21926
D211980,Q9Y6E2
D211980,Q15831
D211980,Q9BQ67
D211980,P43351
D211980,Q05D60
D211980,Q9BTL4
D211980,P23511
D211980,P02656
D211980,Q07817
D211980,P05177
D211980,P16870
D211980,P38936
D211980,P42229
D211980,P04406
D211980,O15392
D211980,P42772
D211980,P05181
D211980,P06400
D211980,Q04743
D211980,Q12805
D211980,Q13586
D211980,P41221
D211980,P08034
D211980,P42336
D211980,P15692
D211980,P13639
D211980,P53539
D211980,Q13315
D211980,P20936
D211980,Q9NQC7
D211980,Q9Y6Q9
D211980,P46527
D211980,P01375
D211980,Q15050
D211980,Q96I99
D211980,Q9NRM7
D211980,O00410
D211980,P18847
D211980,P09651
D211980,P28161
D211980,P09936
D211980,Q15822
D211980,P19525
D211980,Q92908
D211980,P48050
D211980,Q9Y6M7
D211980,P17643
D211980,P20700
